NAME,ADDRESS,LATITUDE,LONGITUDE,RATING
"Pirate's Island Adventure Golf","3201 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",30.2864091,-87.6867146,4.7
"Tiki's Mini Golf & Bike Rentals","1204 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",30.2618754,-87.6881393,3.9
"Shrimpy's Mini Golf","204 E 2nd Ave, Gulf Shores, AL 36542, USA",30.2507290,-87.6878023,3.7
"The Putting Place","5103 Girby Rd, Mobile, AL 36693, USA",30.6181230,-88.1597267,3.6
"Southern Golf","2550 Pelham Pkwy, Pelham, AL 35124, USA",33.3207103,-86.7973666,4.7
"ENTERPRISE MINIATURE GOLF, LLC.","1304 E Park Ave, Enterprise, AL 36330, USA",31.3071170,-85.8311871,5.0
"Sonny's Family Fun Center","25455 AL-69, Jasper, AL 35504, USA",33.8413820,-87.2164130,4.3
"Southwest Greens of Birmingham","2316 1st Ave N, Birmingham, AL 35203, USA",33.5169790,-86.8009075,NONE
"Southern Adventures","2150 Leeman Ferry Cir SW, Huntsville, AL 35801, USA",34.6972820,-86.5943159,3.9
"Treetop Family Adventure","1012 Dunnavant Valley Rd, Birmingham, AL 35242, USA",33.3735740,-86.6629890,4.1
"Funland Golf Course","401 14th St SE, Decatur, AL 35601, USA",34.5758001,-86.9820742,3.7
"Adventureland Theme Park","3738 W Main St, Dothan, AL 36305, USA",31.2336375,-85.4488357,4.4
"Track Family Recreation Center","3200 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",30.2864132,-87.6857152,4.2
"Caddyshack Miniature Golf","1683 Whittlesey Rd, Columbus, GA 31904, USA",32.5397769,-84.9684145,4.8
"Gateway Golf Course","3800 Davenport Dr, Montgomery, AL 36105, USA",32.3348673,-86.3273608,4.2
"Putt-Putt Fun Center","3349 GA-20, Rome, GA 30165, USA",34.2711310,-85.2705330,4.0
"Shoals Golf Course Maintenance","225 Rtj Maintainance Rd, Muscle Shoals, AL 35661, USA",34.8130357,-87.5335420,5.0
"Killen Time Mini Golf","4051 U.S. 72, Killen, AL 35645, USA",34.8599725,-87.4997432,4.8
"Putters Wild","1230 E 68th Ave #109, Anchorage, AK 99518, USA",61.1585920,-149.8586030,4.3
"Pioneer Park Mini Golf","2300 Airport Way, Fairbanks, AK 99701, USA",64.8377435,-147.7715991,NONE
"Castle On O'Malley","1520 O'Malley Rd, Anchorage, AK 99507, USA",61.1223023,-149.8537644,4.0
"Glow Putt Mini Golf","9160 E Shea Blvd #110, Scottsdale, AZ 85260, USA",33.5837032,-111.8837393,4.7
"Glowgolf","4568 E Cactus Rd D-004, Phoenix, AZ 85032, USA",33.6022845,-111.9818821,3.1
"Beardsley Park Miniature Golf Course","12702 W Beechwood Dr, Sun City West, AZ 85375, USA",33.6645837,-112.3300203,3.2
"Sun City west miniature golf course","19803 N R H Johnson Blvd, Sun City West, AZ 85375, USA",33.6619890,-112.3541073,2.5
"Golf N' Stuff","6503 E Tanque Verde Rd, Tucson, AZ 85715, USA",32.2459311,-110.8543460,4.2
"Casey's SportsWorld","3947 E Union Hills Dr, Phoenix, AZ 85050, USA",33.6541940,-111.9969230,4.2
"Golfland Sunsplash","155 W Hampton Ave, Mesa, AZ 85210, USA",33.3880567,-111.8378374,4.2
"Castles ~n~ Coasters","9445 N Metro Pkwy E, Phoenix, AZ 85051, USA",33.5725260,-112.1187880,4.3
"CrackerJax","16001 N Scottsdale Rd, Scottsdale, AZ 85254, USA",33.6309937,-111.9231851,3.5
"Wazee's World Laser Zone LLC","9750 W Peoria Ave, Peoria, AZ 85345, USA",33.5812882,-112.2692726,3.6
"Swingin' Safari Mini Golf, LLC","3875 W Ray Rd ste. #8, Chandler, AZ 85226, USA",33.3186077,-111.9091316,NONE
"Freedom Station Family Fun Center","2992 N Park Ave A, Prescott Valley, AZ 86314, United States",34.5863890,-112.3386740,4.1
"Triple Play","1570 W Duval Mine Rd, Green Valley, AZ 85614, USA",31.8993654,-110.9987485,4.1
"Funtasticks Family Fun Park","221 E Wetmore Rd, Tucson, AZ 85705, USA",32.2878941,-110.9684223,3.9
"Xtreme Fun Spot","6901 N Casa Grande Hwy, Tucson, AZ 85743, USA",32.3326246,-111.0646705,4.9
"Z Fun Factory","4446 E County 10th St, Yuma, AZ 85365, USA",32.6852950,-114.5567820,4.1
